entity_id,entity_name,state_code,state_ut,district,entity_type,risk_profile
AGENCY_0001,Thane Public Works Department (PWD),MH,Maharashtra,Thane,Implementing Agency,mixed
AGENCY_0002,Thane District Rural Development Agency (DRDA),MH,Maharashtra,Thane,Implementing Agency,high
AGENCY_0003,Mumbai Municipal Corporation Infrastructure Cell,MH,Maharashtra,Mumbai,Implementing Agency,medium
AGENCY_0004,Aurangabad State Water Supply & Sanitation Board (WSSB),MH,Maharashtra,Aurangabad,Implementing Agency,low
AGENCY_0005,Madurai Public Works Department (PWD),TN,Tamil Nadu,Madurai,Implementing Agency,mixed
AGENCY_0006,Madurai District Rural Development Agency (DRDA),TN,Tamil Nadu,Madurai,Implementing Agency,high
AGENCY_0007,Tiruchirappalli Municipal Corporation Infrastructure Cell,TN,Tamil Nadu,Tiruchirappalli,Implementing Agency,medium
AGENCY_0008,Chennai State Water Supply & Sanitation Board (WSSB),TN,Tamil Nadu,Chennai,Implementing Agency,low
AGENCY_0009,Varanasi Public Works Department (PWD),UP,Uttar Pradesh,Varanasi,Implementing Agency,mixed
AGENCY_0010,Varanasi District Rural Development Agency (DRDA),UP,Uttar Pradesh,Varanasi,Implementing Agency,high
AGENCY_0011,Kanpur Municipal Corporation Infrastructure Cell,UP,Uttar Pradesh,Kanpur,Implementing Agency,medium
AGENCY_0012,Varanasi State Water Supply & Sanitation Board (WSSB),UP,Uttar Pradesh,Varanasi,Implementing Agency,low
AGENCY_0013,Darjeeling Public Works Department (PWD),WB,West Bengal,Darjeeling,Implementing Agency,mixed
AGENCY_0014,Kolkata District Rural Development Agency (DRDA),WB,West Bengal,Kolkata,Implementing Agency,high
AGENCY_0015,Kolkata Municipal Corporation Infrastructure Cell,WB,West Bengal,Kolkata,Implementing Agency,medium
AGENCY_0016,Siliguri State Water Supply & Sanitation Board (WSSB),WB,West Bengal,Siliguri,Implementing Agency,low
AGENCY_0017,Bhagalpur Public Works Department (PWD),BR,Bihar,Bhagalpur,Implementing Agency,mixed
AGENCY_0018,Muzaffarpur District Rural Development Agency (DRDA),BR,Bihar,Muzaffarpur,Implementing Agency,high
AGENCY_0019,Patna Municipal Corporation Infrastructure Cell,BR,Bihar,Patna,Implementing Agency,medium
AGENCY_0020,Patna State Water Supply & Sanitation Board (WSSB),BR,Bihar,Patna,Implementing Agency,low
AGENCY_0021,Bengaluru Public Works Department (PWD),KA,Karnataka,Bengaluru,Implementing Agency,mixed
AGENCY_0022,Mysuru District Rural Development Agency (DRDA),KA,Karnataka,Mysuru,Implementing Agency,high
AGENCY_0023,Bengaluru Municipal Corporation Infrastructure Cell,KA,Karnataka,Bengaluru,Implementing Agency,medium
AGENCY_0024,Hubballi State Water Supply & Sanitation Board (WSSB),KA,Karnataka,Hubballi,Implementing Agency,low
AGENCY_0025,Ahmedabad Public Works Department (PWD),GJ,Gujarat,Ahmedabad,Implementing Agency,mixed
AGENCY_0026,Ahmedabad District Rural Development Agency (DRDA),GJ,Gujarat,Ahmedabad,Implementing Agency,high
